ID,ShowName,Name,ItemObjType,Class,SubClass,Character,Expend,Quility,Level,Value,BindType,Count,MaxNum,ExistTime,NeedJob,NeedLevel,NeedSex,SetID,MainType,Property.Str,Property.Int,Property.Dex,Property.Sta,Property.Fai,Property.MaxHP,Property.MaxSP,Property.HPTick,Property.SPTick,Property.AtkDmgMin,Property.AtkDmgMax,Property.Def,Property.IceAtt,Property.FireAtt,Property.PoisonAtt,Property.ThunderAtt,Property.IceDef,Property.FireDef,Property.PoisonDef,Property.ThunderDef,Property.Pierce,Property.Hit,Property.Dodge,Property.Cri,Property.Flex,Property.CriDmg,Property.CriDmgDef,Property.BodySize,Property.AttSize,Property.AttSpeedModPer,Property.MoveSpeedModPer,Property.PiercePer,Property.HitPer,Property.DodgePer,Property.CriPer,Property.FlexPer,Property.AttSpeed,Property.MoveSpeed,Property.MaxEP,Property.MaxAP,Property.ExpPer,Property.MoneyPer,Up1,Up2,Up3,EffectID1,EffectID2,EffectID3,RandomMin,RandomMax,HoleMin,HoleMax,HolePos,UpMin,UpMax,CanUse,UseNum,CoolDownTime,SetTime,UseCondition,Effect,IntExtra1,IntExtra2,IntExtra3,IntExtra4,StringExtra1,StringExtra2,StringExtra3,StringExtra4,IconPath,Filename,FilenameW,FilePart,Description,SoundMat,IconID,EventUse,EventAddBag,UpBaseExp,UpBaseMoney,SuitID,DropID,GatherCostCount,GatherItemID,GatherCount,GenItemID,GenItemCount
302,2级宝石礼包,2级宝石礼包,0,51,1,-1,0,3,2,1,0,0,9999,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,HONG-2,0,0,0,可获得任意1颗2级宝石,0,20,0,EventAddDrop,0,0,0,5008,0,0,0,0,0
303,3级宝石礼包,3级宝石礼包,0,51,1,-1,0,3,3,1,0,0,9999,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,HONG-3,0,0,0,可获得任意1颗3级宝石,0,20,0,EventAddDrop,0,0,0,5009,0,0,0,0,0
304,4级宝石礼包,4级宝石礼包,0,51,1,-1,0,4,4,1,0,0,9999,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,HONG-4,0,0,0,可获得任意1颗4级宝石,0,20,0,EventAddDrop,0,0,0,5010,0,0,0,0,0
305,5级宝石礼包,5级宝石礼包,0,51,1,-1,0,4,5,1,0,0,9999,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,HONG-5,0,0,0,可获得任意1颗5级宝石,0,20,0,EventAddDrop,0,0,0,5011,0,0,0,0,0
400,测试使用,测试使用,0,51,1,-1,102,4,5,1,0,0,9999,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,HONG-5,0,0,0,可获得10颗神秘水晶,0,20,EventAddItem,,0,0,0,5011,0,0,0,102,10
401,测试掉落,测试掉落,0,51,1,-1,0,4,5,1,0,0,9999,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,HONG-5,0,0,0,可获得任意1颗5级宝石,0,20,EventAddDrop,,0,0,0,5011,0,0,0,0,0
601,矮人狂战士(碎片),矮人狂战士,1,101,2,-1,101,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500101,1,0,0
602,小花仙(碎片),小花仙,1,101,2,-1,102,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500102,1,0,0
603,小艾丽娅(碎片),小艾丽娅,1,101,2,-1,103,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500103,1,0,0
604,酒桶(碎片),酒桶,1,101,2,-1,104,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500104,1,0,0
605,圣光主祭(碎片),圣光主祭,1,101,2,-1,105,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500105,1,0,0
606,流浪武士(碎片),流浪武士,1,101,2,-1,106,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500106,1,0,0
607,矮人神射手(碎片),矮人神射手,1,101,2,-1,107,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500107,1,0,0
608,圣火妖姬(碎片),圣火妖姬,1,101,2,-1,108,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500108,1,0,0
609,狮心勇士(碎片),狮心勇士,1,101,2,-1,109,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500109,1,0,0
610,流浪法师(碎片),流浪法师,1,101,2,-1,110,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500110,1,0,0
614,玲珑侍女(碎片),玲珑侍女,1,101,2,-1,114,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500114,1,0,0
615,铁锤(碎片),铁锤,1,101,2,-1,115,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500115,1,0,0
616,艾尔蕾雅(碎片),艾尔蕾雅,1,101,2,-1,116,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500116,1,0,0
622,暗影(碎片),暗影,1,101,2,-1,122,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500122,1,0,0
623,玛丽娜(碎片),玛丽娜,1,101,2,-1,123,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500123,1,0,0
624,米勒大叔(碎片),米勒大叔,1,101,2,-1,124,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500124,1,0,0
625,佩恩(碎片),佩恩,1,101,2,-1,125,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500125,1,0,0
626,秀逗魔术师(碎片),秀逗魔术师,1,101,2,-1,126,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500126,1,0,0
627,克丽缇娜(碎片),克丽缇娜,1,101,2,-1,127,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500127,1,0,0
628,矮人督察官(碎片),矮人督察官,1,101,2,-1,128,3,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500128,1,0,0
633,经验童子(碎片),高级经验童子,1,101,2,-1,933,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,50,500933,1,0,0
634,经验童子(碎片),高级经验童子,1,101,2,-1,934,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,80,500934,1,0,0
635,克里斯(碎片),克里斯,1,101,2,-1,135,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,100,500135,1,0,0
636,光之教父(碎片),光之教父,1,101,2,-1,136,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,80,500136,1,0,0
637,炼金术士(碎片),炼金术士,1,101,2,-1,137,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,80,500137,1,0,0
638,海洋之心(碎片),海洋之心,1,101,2,-1,138,4,1,1,0,0,9999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,necklace_04,0,0,0,,0,10,0,EventGatherAddItem,0,0,0,0,80,500138,1,0,0
999,GM无敌项链,GM蓝项链,0,2,2,8,0,3,1,1,0,0,1,0,0,1,0,0,24,0,0,0,0,0,100000,0,0,0,10000,10000,100000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,0,1000,60,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,10000,10000,10000,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,50,3,3,0,0,0,Flex,0,n_401,0,0,0,,0,4,0,,1000,10,0,0,0,0,0,0,0
1000,近卫队长之剑,战士出生武器-剑,0,0,0,0,0,1,1,1,0,0,1,0,2,1,0,0,10,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,AtkDmgMax,0,item_00695,Model/Weapons/longsword/$longsword_010lv_01_o01/longsword_010lv_01_o01.fbx,0,longsword_010lv_01_o01,,0,0,0,,3000,3000,0,0,0,0,0,0,0
1001,近卫队长护盾,战士出生武器-盾,0,0,4,9,0,1,1,1,0,0,1,0,2,1,0,0,9,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,AtkDmgMin,0,item_00694,Model/Weapons/heavyshield/$heavyshield_010lv_01_o01/heavyshield_010lv_01_o01.fbx,0,heavyshield_010lv_01_o01,,0,0,0,,3000,3000,0,0,0,0,0,0,0
1002,近卫队长头盔,战士出生帽子,0,1,0,1,0,1,1,1,0,0,1,0,2,1,0,0,5,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,MaxHP,0,item_00266,Model/Mdl_mainChar_0/$heavy_010lv_01_o01_hero/heavy_010lv_01_o01_hero.fbx,0,face,,0,0,0,,1666,1666,0,0,0,0,0,0,0
1003,近卫队长胸甲,战士出生上衣,0,1,1,2,0,1,1,1,0,0,1,0,2,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,Def,0,item_00267,Model/Mdl_mainChar_0/$heavy_010lv_01_o01_hero/heavy_010lv_01_o01_hero.fbx,0,upper,,0,0,0,,2900,2900,0,0,0,0,0,0,0
1004,近卫队长手套,战士出生手套,0,1,2,3,0,1,1,1,0,0,1,0,2,1,0,0,5,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1,2,0,0,0,MaxHP,0,item_00270,Model/Mdl_mainChar_0/$heavy_010lv_01_o01_hero/heavy_010lv_01_o01_hero.fbx,0,hands,,0,0,0,,1800,1800,0,0,0,0,0,0,0
1005,近卫队长腿甲,战士出生下装,0,1,3,4,0,1,1,1,0,0,1,0,2,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1,1,0,0,0,Def,0,item_00268,Model/Mdl_mainChar_0/$heavy_010lv_01_o01_hero/heavy_010lv_01_o01_hero.fbx,0,lower,,0,0,0,,2400,2400,0,0,0,0,0,0,0
1006,近卫队长披风,战士出生披风,0,1,4,5,0,1,1,1,0,0,1,0,2,1,0,0,5,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,1,3,0,0,0,MaxHP,0,z_c_201,Model/Mdl_mainChar_0/$heavy_010lv_01_o01_hero/heavy_010lv_01_o01_hero.fbx,0,upperback,赋予穿着者近卫队长的能力，此披风蕴含着近卫队长的意志，穿上可获得大量生命的增强,0,4,0,,2100,2100,0,0,0,0,0,0,0
