CardID,i1.ItemID,i1.Count,i1.Hit,i2.ItemID,i2.Count,i2.Hit,i3.ItemID,i3.Count,i3.Hit,i4.ItemID,i4.Count,i4.Hit,i5.ItemID,i5.Count,i5.Hit,i6.ItemID,i6.Count,i6.Hit,i7.ItemID,i7.Count,i7.Hit,i8.ItemID,i8.Count,i8.Hit,i9.ItemID,i9.Count,i9.Hit,i10.ItemID,i10.Count,i10.Hit,i11.ItemID,i11.Count,i11.Hit,i12.ItemID,i12.Count,i12.Hit,i13.ItemID,i13.Count,i13.Hit,i14.ItemID,i14.Count,i14.Hit
1010031,1,180,0,2,0,0,3,0,0,14002,1,500,14002,1,500,14003,1,500,14004,1,500,14005,1,500,204006,1,500,204007,1,500,204008,1,500,14000,1,500,14009,1,500,0,0,0
1010032,1,144,0,2,0,0,3,0,0,202006,1,500,202007,1,500,202008,1,500,12000,1,500,12009,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,0,0
1010033,1,120,100,2,0,0,3,0,0,12001,1,200,12002,1,200,12003,1,200,12004,1,200,12005,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,0,0
1010034,1,108,500,2,0,0,3,0,0,200006,1,500,200007,1,480,200008,1,460,10000,1,440,10009,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010035,1,96,1000,2,0,0,3,0,0,10001,1,500,10002,1,480,10003,1,460,10004,1,440,10005,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010041,1,195,0,2,0,0,3,0,0,14002,1,500,14002,1,500,14003,1,500,14004,1,500,14005,1,500,204006,1,500,204007,1,500,204008,1,500,14000,1,500,14009,1,500,0,0,0
1010042,1,156,0,2,0,0,3,0,0,202006,1,500,202007,1,500,202008,1,500,12000,1,500,12009,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,0,0
1010043,1,130,100,2,0,0,3,0,0,12001,1,200,12002,1,200,12003,1,200,12004,1,200,12005,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,0,0
1010044,1,117,500,2,0,0,3,0,0,200006,1,500,200007,1,480,200008,1,460,10000,1,440,10009,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010045,1,104,1000,2,0,0,3,0,0,10001,1,500,10002,1,480,10003,1,460,10004,1,440,10005,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010051,1,210,0,2,0,0,3,0,0,14002,1,500,14002,1,500,14003,1,500,14004,1,500,14005,1,500,204006,1,500,204007,1,500,204008,1,500,14000,1,500,14009,1,500,0,0,0
1010052,1,168,0,2,0,0,3,0,0,202006,1,500,202007,1,500,202008,1,500,12000,1,500,12009,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,0,0
1010053,1,140,100,2,0,0,3,0,0,12001,1,200,12002,1,200,12003,1,200,12004,1,200,12005,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,0,0
1010054,1,126,500,2,0,0,3,0,0,200006,1,500,200007,1,480,200008,1,460,10000,1,440,10009,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010055,1,112,1000,2,0,0,3,0,0,10001,1,500,10002,1,480,10003,1,460,10004,1,440,10005,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010061,1,225,0,2,0,0,3,0,0,14002,1,500,14002,1,500,14003,1,500,14004,1,500,14005,1,500,204006,1,500,204007,1,500,204008,1,500,14000,1,500,14009,1,500,0,0,0
1010062,1,180,0,2,0,0,3,0,0,202006,1,500,202007,1,500,202008,1,500,12000,1,500,12009,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,1,500,0,0,0
1010063,1,150,100,2,0,0,3,0,0,12001,1,200,12002,1,200,12003,1,200,12004,1,200,12005,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,1,200,0,0,0
1010064,1,135,500,2,0,0,3,0,0,200006,1,500,200007,1,480,200008,1,460,10000,1,440,10009,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010065,1,120,1000,2,0,0,3,0,0,10001,1,500,10002,1,480,10003,1,460,10004,1,440,10005,1,420,0,1,400,0,1,380,0,1,360,0,1,340,0,1,320,0,0,0
1010071,1,240,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010072,1,192,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010073,1,160,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010074,1,144,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010075,1,128,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010081,1,255,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010082,1,204,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010083,1,170,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010084,1,153,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010085,1,136,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010091,1,270,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010092,1,216,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010093,1,180,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010094,1,162,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010095,1,144,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010101,1,285,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010102,1,228,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010103,1,190,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010104,1,171,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010105,1,152,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010111,1,300,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010112,1,240,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010113,1,200,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010114,1,180,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010115,1,160,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010121,1,315,0,2,0,0,3,0,0,500101,1,1000,500102,1,1000,500103,1,1000,500104,1,1000,500122,1,1000,500123,1,1000,500124,1,1000,500125,1,1000,500126,1,1000,500127,1,1000,500135,1,0
1010122,1,252,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010123,1,210,100,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010124,1,189,500,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010125,1,168,1000,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010131,1,330,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010132,1,264,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010133,1,220,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010134,1,198,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010135,1,176,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010141,1,345,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010142,1,276,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010143,1,230,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010144,1,207,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010145,1,184,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010151,1,360,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010152,1,288,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010153,1,240,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010154,1,216,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010155,1,192,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010161,1,375,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010162,1,300,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010163,1,250,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010164,1,225,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010165,1,200,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010171,1,390,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010172,1,312,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010173,1,260,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010174,1,234,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010175,1,208,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010181,1,405,0,2,0,0,3,0,0,500101,1,1000,500102,1,1000,500103,1,1000,500104,1,1000,500122,1,1000,500123,1,1000,500124,1,1000,500125,1,1000,500126,1,1000,500127,1,1000,500135,1,0
1010182,1,324,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010183,1,270,100,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010184,1,243,500,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010185,1,216,1000,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010191,1,420,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010192,1,336,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010193,1,280,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010194,1,252,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010195,1,224,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010201,1,435,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010202,1,348,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010203,1,290,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010204,1,261,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010205,1,232,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010211,1,450,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010212,1,360,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010213,1,300,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010214,1,270,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010215,1,240,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010221,1,465,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010222,1,372,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010223,1,310,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010224,1,279,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010225,1,248,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010231,1,480,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010232,1,384,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010233,1,320,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010234,1,288,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010235,1,256,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010241,1,495,0,2,0,0,3,0,0,500101,1,1000,500102,1,1000,500103,1,1000,500104,1,1000,500122,1,1000,500123,1,1000,500124,1,1000,500125,1,1000,500126,1,1000,500127,1,1000,500135,1,0
1010242,1,396,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010243,1,330,100,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010244,1,297,500,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010245,1,264,1000,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010251,1,510,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010252,1,408,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010253,1,340,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010254,1,306,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010255,1,272,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010261,1,525,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010262,1,420,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010263,1,350,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010264,1,315,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010265,1,280,1000,2,0,0,3,0,0,500112,1,1000,500113,1,1000,500117,1,1000,500120,1,1000,500121,1,1000,500111,1,2000,500118,1,2000,500119,1,2000,500129,1,2000,500130,1,2000,0,0,0
1010271,1,540,0,2,0,0,3,0,0,601,2,1000,602,2,1000,603,2,1000,604,2,1000,622,2,1000,623,2,1000,624,2,1000,625,2,1000,626,2,1000,627,2,1000,635,2,0
1010272,1,432,0,2,0,0,3,0,0,500105,1,2000,500106,1,2000,500107,1,2000,500108,1,2000,500109,1,2000,500110,1,2000,500114,1,2000,500115,1,2000,500116,1,2000,500128,1,2000,0,0,0
1010273,1,360,100,2,0,0,3,0,0,605,2,1000,606,2,1000,607,2,1000,608,2,1000,609,2,1000,610,2,1000,614,2,1000,615,2,1000,616,2,1000,628,2,1000,0,0,0
1010274,1,324,500,2,0,0,3,0,0,500934,1,500,500933,1,1000,500932,1,2500,500931,1,5000,634,10,62,633,10,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
